paperId,abstract,authors,citationCount,journal,referenceCount,title,year
001894bdede07d732d727dd0056315db0643b880,,"[{'authorId': '79957345', 'name': 'M. Garke'}, {'authorId': '51886539', 'name': 'N. Isacsson'}, {'authorId': '4983269', 'name': 'K. Sörman'}, {'authorId': '6370509', 'name': 'J. Bjureberg'}, {'authorId': '9990724', 'name': 'C. Hellner'}, {'authorId': '5806761', 'name': 'K. L. Gratz'}, {'authorId': '6501585', 'name': 'Christopher R. Berghoff'}, {'authorId': '38578297', 'name': 'R. Sinha'}, {'authorId': '2059670', 'name': 'M. Tull'}, {'authorId': '1398527076', 'name': 'N. Jayaram-Lindström'}]",24.0,,52.0,Emotion dysregulation across levels of substance use,2020.0
004eba8196784a80275a1d738980baffccfae027,,"[{'authorId': '153928835', 'name': 'Tammy-Lee Currie'}, {'authorId': '143679141', 'name': 'K. Mckenzie'}, {'authorId': '32069331', 'name': 'S. Noone'}]",20.0,,63.0,The Experiences of People with an Intellectual Disability of a Mindfulness-Based Program,2019.0
00576d23533c00772adb5ad78b1d44c01b431e51,"Background. Eye movement desensitization and reprocessing (EMDR) and trauma-focused cognitive-behavioral therapy (CBT) are both widely used in the treatment of post-traumatic stress disorder (PTSD). There has, however, been debate regarding the advantages of one approach over the other. This study sought to determine whether there was any evidence that one treatment was superior to the other. Method. We performed a systematic review of the literature dating from 1989 to 2005 and identified eight publications describing treatment outcomes of EMDR and CBT in active–active comparisons. Seven of these studies were investigated meta-analytically. Results. The superiority of one treatment over the other could not be demonstrated. Trauma-focused CBT and EMDR tend to be equally efficacious. Differences between the two forms of treatment are probably not of clinical significance. While the data indicate that moderator variables influence treatment efficacy, we argue that because of the small number of original studies, little benefit is to be gained from a closer examination of these variables. Further research is needed within the framework of randomized controlled trials. Conclusions. Our results suggest that in the treatment of PTSD, both therapy methods tend to be equally efficacious. We suggest that future research should not restrict its focus to the efficacy, effectiveness and efficiency of these therapy methods but should also attempt to establish which trauma patients are more likely to benefit from one method or the other. What remains unclear is the contribution of the eye movement component in EMDR to treatment outcome.","[{'authorId': '72935940', 'name': 'G. Seidler'}, {'authorId': '32578025', 'name': 'F. Wagner'}]",421.0,,38.0,Comparing the efficacy of EMDR and trauma-focused cognitive-behavioral therapy in the treatment of PTSD: a meta-analytic study,2006.0
006313f2cbbc291e49f0673f2fdb1ae5608f8002,,"[{'authorId': '3711067', 'name': 'J. Mayer'}, {'authorId': '3811032', 'name': 'P. Salovey'}, {'authorId': '145266809', 'name': 'D. Caruso'}]",420.0,,0.0,"Emotional intelligence as zeitgeist, as personality, and as a mental ability.",2000.0
0064d16ff6f73cb87422fc1deaa02c1cb5e0636a,,"[{'authorId': '5586879', 'name': 'T. Sharot'}, {'authorId': '2065893675', 'name': 'Neil Garrett'}]",199.0,,100.0,Forming Beliefs: Why Valence Matters,2016.0
006b2b69179c318002e1d9c48c5a12a1a15abda9,,"[{'authorId': '40035527', 'name': 'C. McGinn'}]",27.0,,137.0,Why Do Robots Need a Head? The Role of Social Interfaces on Service Robots,2020.0
0089abe41a632b652af8bf62b36c65844fa463d2,"OBJECTIVES
We examined whether kindergarten teachers' ratings of children's prosocial skills, an indicator of noncognitive ability at school entry, predict key adolescent and adult outcomes. Our goal was to determine unique associations over and above other important child, family, and contextual characteristics.


METHODS
Data came from the Fast Track study of low-socioeconomic status neighborhoods in 3 cities and 1 rural setting. We assessed associations between measured outcomes in kindergarten and outcomes 13 to 19 years later (1991-2000). Models included numerous control variables representing characteristics of the child, family, and context, enabling us to explore the unique contributions among predictors.


RESULTS
We found statistically significant associations between measured social-emotional skills in kindergarten and key young adult outcomes across multiple domains of education, employment, criminal activity, substance use, and mental health.


CONCLUSIONS
A kindergarten measure of social-emotional skills may be useful for assessing whether children are at risk for deficits in noncognitive skills later in life and, thus, help identify those in need of early intervention. These results demonstrate the relevance of noncognitive skills in development for personal and public health outcomes.","[{'authorId': '36531525', 'name': 'Damon Jones'}, {'authorId': '144295419', 'name': 'M. Greenberg'}, {'authorId': '38346789', 'name': 'M. Crowley'}]",723.0,,279.0,Early Social-Emotional Functioning and Public Health: The Relationship Between Kindergarten Social Competence and Future Wellness.,2015.0
00a4faff8cb36de35ec06f81da2cd4ede1226c6e,"The concept of emotional intelligence (EI) has drawn a great amount of scholarly interest in recent years; however, attempts to measure individual differences in this ability remain controversial. Although the Mayer–Salovey–Caruso Emotional Intelligence Test (MSCEIT) remains the flagship test of EI, no study has comprehensively examined the full interpretive argument tying variation in observed test performance to variation in the underlying ability. Employing a modern perspective on validation, this article reviews and synthesizes available evidence and discusses sources of concern at every level of the interpretive argument. It is argued that a focus on causal explanation of observed variation in test performance would significantly improve the validity of the MSCEIT as a measure of EI.","[{'authorId': '3357188', 'name': 'A. Maul'}]",105.0,,25.0,The Validity of the Mayer–Salovey–Caruso Emotional Intelligence Test (MSCEIT) as a Measure of Emotional Intelligence,2012.0
00e7df13e6a5b914206ba19d456e76ece08ac753,"Numerous studies have shown that childhood interventions can foster improved outcomes in adulthood. Less well understood is precisely how-that is, through which developmental pathways-these interventions work. This study assesses mechanisms by which the Fast Track project (n = 891), a randomized intervention in the early 1990s for high-risk children in four communities (Durham, NC; Nashville, TN; rural PA; and Seattle, WA), reduced delinquency, arrests, and general and mental health service utilization in adolescence through young adulthood (ages 12-20). A decomposition of treatment effects indicates that about a third of Fast Track's impact on later crime outcomes can be accounted for by improvements in social and self-regulation skills during childhood (ages 6-11), such as prosocial behavior, emotion regulation, and problem solving. These skills proved less valuable for the prevention of general and mental health problems.","[{'authorId': '12316397', 'name': 'Lucy C. Sorensen'}, {'authorId': '2812179', 'name': 'K. Dodge'}]",48.0,,54.0,How Does the Fast Track Intervention Prevent Adverse Outcomes in Young Adulthood?,2016.0
0116e38f8ae68fc8ce08361e5a53a24ba93b8dcb,"INVESTIGATING THE RELATIONSHIP BETWEEN EMOTIONAL INTELLIGENCE AND CULTURAL INTELLIGENCE TO ATTITUDES TOWARDS TEAM-BASED LEARNING IN UNDERGRADUATE PRE-HEALTH PROFESSION STUDENTS By Kevin A. Harris, Doctoral Candidate A dissertation submitted in partial fulfillment of the requirements for the degree of Doctor of Philosophy at Virginia Commonwealth University. Virginia Commonwealth University, 2017. Major Director: Kevin Allison, Ph.D. Professor, Clinical Psychology Department of Psychology Improving patient outcomes has long been the rationale supporting calls to reform health care delivery systems and health profession education programs (Greiner, 2002; Institutes of Medicine, 2001, 2004; O’Neil & Pew Health Professions Commission, 1998). A common aim sought through recent healthcare reforms is greater patient-centered delivery of care. In 2003, the Institute of Medicine shared its vision statement for health professions education, asserting that “[a]ll health professionals should be educated to deliver patient-centered care as members of an interdisciplinary team, emphasizing evidence-based practice, quality improvement approaches and informatics” (Knebel & Greiner, 2003, p. 3). The importance of including team-based learning pedagogy in health profession education is viewed as critical to students’ preparation for challenges they will confront in their professional careers (Sibley & Parmelee, 2008). Despite the importance placed on teamwork in health sciences education, little attention has been devoted to understanding underlying factors influencing health sciences student attitudes towards learning in a team-based environment (Curran, Sharpe, Forristall, & Flynn, 2008). Moreover, there is less understanding of factors that influence attitudes towards team-based learning in prehealth students who are pursuing admission into a health profession program (Dumke, VanderWielen, Harris, & Ford-Smith, 2016). The purpose of this study is to explore the importance of specific non-academic factors, emotional intelligence and cultural intelligence, in shaping undergraduate pre-health students’ attitudes towards team-based learning. A quantitative, non-experimental, cross-sectional study design was used in this study employing correlational and multivariate regression analysis techniques. Findings indicate: a) significant relationships between emotional intelligence and cultural intelligence to the value students place on working in groups; and, b) emotional intelligence accounts for approximately 3% of variance above and beyond the Big Five personality factors in predicting student attitudes towards group work. This study has the potential to inform the development of interprofessional education policy and practice in two fundamental ways. First, the study provides insight on the importance of emotional and social competence in shaping students’ attitudes towards team-based learning. Secondly, increasing the understanding of emotional intelligence and cultural intelligence in the pre-health stage of a student’s development can influence the preparation of pre-health students for admissions to health professions programs.","[{'authorId': '10675791', 'name': 'Kevin A. Harris'}]",1.0,,364.0,Investigating the Relationship between Emotional Intelligence and Cultural Intelligence to Attitudes towards Team-Based Learning in Undergraduate Pre-health Profession Students,2017.0
