paperId,abstract,authors,citationCount,journal,referenceCount,title,year
000f7f109efafd00af5733915ae5183818a412a9,"Intelligent user interfaces have traditionally been used to create systems that respond intelligently to user input. However there is a recent trend towards Empathic Interfaces that are designed to go beyond understanding user input and to recognize emotional state and user feelings. In this presentation we explore how Augmented Reality (AR) can be used to convey that emotional state and so allow users to capture and share emotional experiences. In this way AR not only overlays virtual imagery on the real world, but also can create deeper understanding of user's experience at particular locations and points in time. The recent emergence of truly wearable systems, such as Google Glass, provide a platform for Empathic Communication using AR. Examples will be shown from research conducted at the HIT Lab NZ and other research organizations, and key areas for future research described.","[{'authorId': '1684805', 'name': 'M. Billinghurst'}]",11.0,,0.0,Using augmented reality to create empathic experiences,2014.0
000fb92cb2d884b19291aca2219547edea519d42,,"[{'authorId': '5331853', 'name': 'E. Laugeson'}, {'authorId': '2078687679', 'name': 'Alexander Gantman'}, {'authorId': '38961667', 'name': 'Steven K. Kapp'}, {'authorId': '6467664', 'name': 'Kaely Orenski'}, {'authorId': '40423861', 'name': 'R. Ellingsen'}]",156.0,,60.0,A Randomized Controlled Trial to Improve Social Skills in Young Adults with Autism Spectrum Disorder: The UCLA PEERS® Program,2015.0
001894bdede07d732d727dd0056315db0643b880,,"[{'authorId': '79957345', 'name': 'M. Garke'}, {'authorId': '51886539', 'name': 'N. Isacsson'}, {'authorId': '4983269', 'name': 'K. Sörman'}, {'authorId': '6370509', 'name': 'J. Bjureberg'}, {'authorId': '9990724', 'name': 'C. Hellner'}, {'authorId': '5806761', 'name': 'K. L. Gratz'}, {'authorId': '6501585', 'name': 'Christopher R. Berghoff'}, {'authorId': '38578297', 'name': 'R. Sinha'}, {'authorId': '2059670', 'name': 'M. Tull'}, {'authorId': '1398527076', 'name': 'N. Jayaram-Lindström'}]",24.0,,52.0,Emotion dysregulation across levels of substance use,2020.0
002664f827ec4d3e369085f771d3c618dd37004b,"Purpose – The purpose of this paper is to discuss the use of virtual reality (VR) for experiential learning in dementia training. People have different perceptions and understanding of what it is like to live with dementia, particularly those that are new to dementia care, whether in a professional capacity, or as a friend or family member. Arguably the most powerful way in which to enhance understanding is to give people a glimpse of what living with dementia might be like. Design/methodology/approach – The myShoes project aimed to create a resource that would augment a virtual environment and expose the user to an experience that gives them a sense of what living with dementia might be like. The resource was created using the latest VR and game development software. A sample group of students from a mixed range of health professions tested the resource providing in depth feedback on its immediate impact and ideas for further development. Findings – Notwithstanding the limited sample on which the simulat...","[{'authorId': '22179259', 'name': 'A. Adefila'}, {'authorId': '2053433409', 'name': 'Sean Graham'}, {'authorId': '102026874', 'name': 'Lynn Clouder'}, {'authorId': '6550158', 'name': 'P. Bluteau'}, {'authorId': '145330382', 'name': 'Steven Ball'}]",40.0,,40.0,myShoes – the future of experiential dementia training?,2016.0
00576d23533c00772adb5ad78b1d44c01b431e51,"Background. Eye movement desensitization and reprocessing (EMDR) and trauma-focused cognitive-behavioral therapy (CBT) are both widely used in the treatment of post-traumatic stress disorder (PTSD). There has, however, been debate regarding the advantages of one approach over the other. This study sought to determine whether there was any evidence that one treatment was superior to the other. Method. We performed a systematic review of the literature dating from 1989 to 2005 and identified eight publications describing treatment outcomes of EMDR and CBT in active–active comparisons. Seven of these studies were investigated meta-analytically. Results. The superiority of one treatment over the other could not be demonstrated. Trauma-focused CBT and EMDR tend to be equally efficacious. Differences between the two forms of treatment are probably not of clinical significance. While the data indicate that moderator variables influence treatment efficacy, we argue that because of the small number of original studies, little benefit is to be gained from a closer examination of these variables. Further research is needed within the framework of randomized controlled trials. Conclusions. Our results suggest that in the treatment of PTSD, both therapy methods tend to be equally efficacious. We suggest that future research should not restrict its focus to the efficacy, effectiveness and efficiency of these therapy methods but should also attempt to establish which trauma patients are more likely to benefit from one method or the other. What remains unclear is the contribution of the eye movement component in EMDR to treatment outcome.","[{'authorId': '72935940', 'name': 'G. Seidler'}, {'authorId': '32578025', 'name': 'F. Wagner'}]",421.0,,38.0,Comparing the efficacy of EMDR and trauma-focused cognitive-behavioral therapy in the treatment of PTSD: a meta-analytic study,2006.0
0084a4d8b14cc2483dba7054fe7e6e3ea65fa86e,,"[{'authorId': '6653934', 'name': 'A. Stang'}]",11120.0,,12.0,Critical evaluation of the Newcastle-Ottawa scale for the assessment of the quality of nonrandomized studies in meta-analyses,2010.0
00a2249192736123bfe0118e8c0dfa76af974e70,"Defining hope as a cognitive set that is composed of a reciprocally derived sense of successful (a) agency (goal-directed determination) and (b) pathways (planning of ways to meet goals), an individual-differences measure is developed. Studies demonstrate acceptable internal consistency and test-retest reliability, and the factor structure identifies the agency and pathways components of the Hope Scale. Convergent and discriminant validity are documented, along with evidence suggesting that Hope Scale scores augmented the prediction of goal-related activities and coping strategies beyond other self-report measures. Construct validational support is provided in regard to predicted goal-setting behaviors; moreover, the hypothesized goal appraisal processes that accompany the various levels of hope are corroborated.","[{'authorId': '145342831', 'name': 'C. R. Snyder'}, {'authorId': '153072118', 'name': 'Cherise A. Harris'}, {'authorId': '2158597261', 'name': 'John R. Anderson'}, {'authorId': '37337766', 'name': 'Sharon A. Holleran'}, {'authorId': '39175670', 'name': 'L. M. Irving'}, {'authorId': '32501917', 'name': 'S. Sigmon'}, {'authorId': '116728468', 'name': 'Lauren Yoshinobu'}, {'authorId': '2060140710', 'name': 'J. Gibb'}, {'authorId': '2223377151', 'name': 'Charyle Langelle'}, {'authorId': '32690370', 'name': 'P. Harney'}]",3901.0,,90.0,The will and the ways: development and validation of an individual-differences measure of hope.,1991.0
00b61d4fdca45a33c75bc375ffb4430190015a19,"A scholarly edition of a work by Adam Smith. The edition presents an authoritative text, together with an introduction, commentary notes, and scholarly apparatus.","[{'authorId': '49609369', 'name': 'D. Raphael'}, {'authorId': '31504936', 'name': 'A. Macfie'}]",3802.0,,0.0,I: The Theory of Moral Sentiments,1976.0
00be5ef748ea1b202ca11006cbb64b211e93365c,"ABSTRACT A novel, heuristic model based upon chaotic complex systems theory and quantum mechanics is proposed to overcome the dichotomy between mind and body. The mind–body interface represents a chaotic system, ruled by the probability principle, as shown in quantum mechanics. Neuronal activity shows many patterns of chaotic behavior, and applications of chaotic patterns seem to be relevant for research regarding the mind–body relationship and the process of trance. A quantum consciousness theory has been proposed, largely controversial, since quantum physics applies to subatomic world and not to macrostructures, such as the brain. Quantum cognition is an emerging field that applies the formalism of quantum theory to model cognitive phenomena such as information processing by the human brain; it overcomes limits and shortcomings of cartesian dualism as well as quantum general theory. As hypnosis is a state of consciousness, it applies to hypnotic cognitive functioning rather than hypnotic structure.","[{'authorId': '4000182', 'name': 'G. De Benedittis'}]",5.0,,78.0,From Quantum Physics to Quantum Hypnosis: A Quantum Mind Perspective,2020.0
00d15da8163e03d3afe7fe9ac806530002a26f25,,"[{'authorId': '2066475367', 'name': 'Yu Shu'}, {'authorId': '2142133800', 'name': 'Yen-Zhang Huang'}, {'authorId': '1720796', 'name': 'Shu-Hsuan Chang'}, {'authorId': '145887818', 'name': 'Mu-Yen Chen'}]",102.0,,40.0,Do virtual reality head-mounted displays make a difference? A comparison of presence and self-efficacy between head-mounted displays and desktop computer-facilitated virtual environments,2018.0
